Time,Eul_A,Eul_B,Eul_C
0.000000,3.101415,0.641503,0.261567
0.000000,3.093346,0.569724,0.048453
0.000000,3.121431,0.524292,-0.149976
0.000000,-3.125612,0.498149,-0.350556
0.000000,-3.090866,0.469006,-0.485732
0.000000,-3.025730,0.437857,-0.619683
0.000000,-2.937846,0.395208,-0.692518
0.000000,-2.864572,0.349470,-0.751706
0.000000,-2.847156,0.298828,-0.796074
0.000000,-2.829259,0.247313,-0.823347
0.000000,-2.852782,0.242572,-0.849024
0.000000,-2.844564,0.224275,-0.850077
0.000000,-2.844564,0.224275,-0.850077
0.000000,-2.821212,0.228996,-0.824645
0.000000,-2.838733,0.220585,-0.825203
0.000000,-2.838733,0.220585,-0.825203
0.000000,-2.821212,0.228996,-0.824645
0.000000,-2.815072,0.225096,-0.799957
0.000000,-2.823037,0.225917,-0.805662
0.000000,-2.834782,0.214030,-0.781775
0.000000,-2.869658,0.180377,-0.789845
0.000000,-2.913480,0.133395,-0.749867
0.000000,-3.016110,0.115255,-0.756283
0.000000,-3.134617,0.151782,-0.714826
0.000000,3.030178,0.194830,-0.689368
0.000000,2.892348,0.209121,-0.708116
0.000000,2.762071,0.203400,-0.728338
0.000000,2.612176,0.213007,-0.741534
0.000000,2.442490,0.197277,-0.744634
0.000000,2.286946,0.200950,-0.716810
0.000000,2.162195,0.191162,-0.701730
0.000000,2.047470,0.185461,-0.691181
0.000000,1.931074,0.171439,-0.658905
0.000000,1.855402,0.158867,-0.646180
0.000000,1.820052,0.145311,-0.650862
0.000000,1.788411,0.151175,-0.666935
0.000000,1.819006,0.160691,-0.666140
0.000000,1.821763,0.180377,-0.677442
0.000000,1.854198,0.174484,-0.661186
0.000000,1.893827,0.157450,-0.663387
0.000000,1.937825,0.161096,-0.677146
0.000000,2.035968,0.161299,-0.725584
0.000000,2.105057,0.200950,-0.743545
0.000000,2.238499,0.260331,-0.765661
0.000000,2.380521,0.330800,-0.775222
0.000000,2.558840,0.448040,-0.740689
0.000000,2.809479,0.560725,-0.673819
0.000000,3.076656,0.659093,-0.556155
0.000000,-2.926094,0.697626,-0.419651
0.000000,-2.736668,0.639756,-0.274355
0.000000,-2.583044,0.564981,-0.202970
0.000000,-2.462651,0.529150,-0.161035
0.000000,-2.357530,0.533790,-0.133474
0.000000,-2.180183,0.514386,-0.075996
0.000000,-2.018511,0.474844,-0.035996
0.000000,-1.855239,0.427723,-0.032530
0.000000,-1.710706,0.351174,-0.041367
0.000000,-1.668636,0.251028,-0.098025
0.000000,-1.676887,0.153603,-0.050615
0.000000,-1.615158,0.111833,-0.059205
0.000000,-1.588903,0.098158,-0.100049
0.000000,-1.532624,0.087110,-0.111655
0.000000,-1.502410,0.087712,-0.082007
0.000000,-1.475283,0.088917,-0.080807
0.000000,-1.472987,0.087512,-0.052425
0.000000,-1.472987,0.087512,-0.052425
0.000000,-1.501017,0.101374,-0.038605
0.000000,-1.498284,0.085705,-0.025296
0.000000,-1.525794,0.113041,0.002415
0.000000,-1.617794,0.125731,-0.073850
0.000000,-1.764236,0.072864,-0.307870
0.000000,-1.881331,-0.112437,-0.609984
0.000000,-1.876343,-0.339483,-0.960680
0.000000,-1.863535,-0.550602,-1.238698
0.000000,-1.750552,-0.758179,-1.643550
0.000000,-1.411587,-0.841435,-2.179278
0.000000,-1.114992,-0.805822,-2.604115
0.000000,-0.838274,-0.708901,-2.958378
0.000000,-0.690488,-0.626114,-3.134803
0.000000,-0.619918,-0.569487,3.088784
0.000000,-0.594139,-0.566877,3.081742
0.000000,-0.594139,-0.566877,3.081742
0.000000,-0.624930,-0.562379,3.110510
0.000000,-0.624930,-0.562379,3.110510
0.000000,-0.604437,-0.581646,3.110792
0.000000,-0.604437,-0.581646,3.110792
0.000000,-0.610030,-0.603588,3.117822
0.000000,-0.623561,-0.662640,-3.073213
0.000000,-0.740652,-0.756527,-2.841421
0.000000,-1.020553,-0.824782,-2.315580
0.000000,-1.466943,-0.806111,-1.658649
0.000000,-1.809055,-0.617747,-1.146290
0.000000,-1.957407,-0.432344,-0.912749
0.000000,-2.033510,-0.278382,-0.747114
0.000000,-2.113511,-0.163325,-0.632455
0.000000,-2.212443,-0.110625,-0.506864
0.000000,-2.366524,-0.114450,-0.417550
0.000000,-2.523646,-0.107004,-0.329003
0.000000,-2.718897,-0.143088,-0.194423
0.000000,-2.891453,-0.166975,-0.122594
0.000000,-3.032875,-0.196257,-0.070828
0.000000,3.082104,-0.220175,-0.013529
0.000000,2.934810,-0.175093,0.058529
0.000000,2.808763,-0.098559,0.137918
0.000000,2.742097,-0.003200,0.185434
0.000000,2.731939,0.147939,0.215796
0.000000,2.740004,0.404327,0.251780
0.000000,2.821939,0.635525,0.343678
0.000000,3.031069,0.844441,0.551990
0.000000,-2.977152,0.952384,0.818348
0.000000,-2.818129,0.993608,1.005714
0.000000,-2.902127,0.913423,0.922964
0.000000,-3.087374,0.770926,0.727845
0.000000,3.033266,0.531005,0.536230
0.000000,2.906998,0.273393,0.397252
0.000000,2.811944,-0.056430,0.274613
0.000000,2.773085,-0.366553,0.131844
0.000000,2.861300,-0.570437,-0.106988
0.000000,3.060204,-0.677440,-0.376207
0.000000,-3.033918,-0.782705,-0.569504
0.000000,-2.801574,-0.887982,-0.776187
0.000000,-2.561982,-0.961761,-1.027300
0.000000,-2.436283,-0.932312,-1.057303
0.000000,-2.373242,-0.911462,-1.018037
0.000000,-2.499053,-0.896586,-0.807154
0.000000,-2.829542,-0.763979,-0.456740
0.000000,-3.037246,-0.518065,-0.235151
0.000000,3.106643,-0.302387,-0.035198
0.000000,3.055231,-0.115456,0.125953
0.000000,-3.138977,0.019801,0.260409
0.000000,-3.030869,0.117671,0.472294
0.000000,-2.897707,0.254126,0.716170
0.000000,-2.813875,0.410862,0.878122
0.000000,-2.773154,0.504306,0.985012
0.000000,-2.769920,0.524985,1.041992
0.000000,-2.765066,0.547319,1.046247
0.000000,-2.829364,0.532629,0.973443
0.000000,-2.920999,0.481151,0.839443
0.000000,-3.031828,0.368054,0.685609
0.000000,-3.127693,0.203808,0.530191
0.000000,3.082004,0.010800,0.360738
0.000000,3.089541,-0.176718,0.124683
0.000000,-3.129137,-0.301549,-0.083020
0.000000,-3.034663,-0.452038,-0.270100
0.000000,-2.938299,-0.579015,-0.437033
0.000000,-2.899051,-0.660612,-0.513437
0.000000,-2.899051,-0.660612,-0.513437
0.000000,-2.911653,-0.597044,-0.450753
0.000000,-2.939009,-0.544511,-0.350567
0.000000,-2.970251,-0.473496,-0.207959
0.000000,-3.010108,-0.422893,-0.049105
0.000000,-3.030366,-0.285878,0.065071
0.000000,-3.034705,-0.188922,0.150853
0.000000,-2.994632,-0.118477,0.233305
0.000000,-2.936716,-0.098559,0.355173
0.000000,-2.855610,-0.206259,0.420963
0.000000,-2.776245,-0.310569,0.422185
0.000000,-2.752749,-0.440730,0.418875
0.000000,-2.773278,-0.509339,0.389458
0.000000,-2.796037,-0.450705,0.424678
0.000000,-2.812420,-0.408900,0.453007
0.000000,-2.828981,-0.382456,0.438867
0.000000,-2.822731,-0.378363,0.416234
0.000000,-2.827490,-0.398678,0.415182
0.000000,-2.838863,-0.423331,0.437289
0.000000,-2.833914,-0.402805,0.437992
0.000000,-2.833914,-0.402805,0.437992
0.000000,-2.847091,-0.393691,0.418356
0.000000,-2.842273,-0.373418,0.419185
0.000000,-2.842273,-0.373418,0.419185
0.000000,-2.870455,-0.355010,0.449932
0.000000,-2.884836,-0.329743,0.453158
0.000000,-2.894445,-0.301549,0.433916
0.000000,-2.934893,-0.274432,0.443214
0.000000,-2.945008,-0.230023,0.446186
0.000000,-2.959848,-0.205646,0.448375
0.000000,-2.979204,-0.182817,0.454561
0.000000,-2.974671,-0.163122,0.455225
0.000000,-2.989278,-0.138846,0.456968
0.000000,-2.989278,-0.138846,0.456968
0.000000,-2.993832,-0.158462,0.456315
0.000000,-2.991294,-0.156640,0.434670
0.000000,-2.991294,-0.156640,0.434670
0.000000,-2.993832,-0.158462,0.456315
0.000000,-2.979204,-0.182817,0.454561
0.000000,-2.979204,-0.182817,0.454561
0.000000,-2.979204,-0.182817,0.454561
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-3.002958,-0.197889,0.455537
0.000000,-3.002958,-0.197889,0.455537
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-2.998392,-0.178141,0.455838
0.000000,-3.017686,-0.173469,0.457114
0.000000,-3.051919,-0.144502,0.459581
0.000000,-3.093806,-0.154008,0.440554
0.000000,-3.138395,-0.185461,0.405880
0.000000,3.098820,-0.257641,0.330186
0.000000,3.055036,-0.355437,0.261316
0.000000,3.001019,-0.477545,0.158637
0.000000,2.961980,-0.585481,0.032937
0.000000,2.985356,-0.670784,-0.158615
0.000000,3.060462,-0.722951,-0.357774
0.000000,-3.109862,-0.803226,-0.541899
0.000000,-2.898971,-0.921650,-0.782343
0.000000,-2.728824,-1.008813,-1.018581
0.000000,-2.593156,-1.045549,-1.176861
0.000000,-2.505352,-1.038808,-1.280910
0.000000,-2.455523,-1.049552,-1.355402
0.000000,-2.437443,-1.042764,-1.347098
0.000000,-2.440719,-1.045948,-1.384370
0.000000,-2.480619,-1.068335,-1.387276
0.000000,-2.492904,-1.038414,-1.345278
0.000000,-2.554371,-1.072504,-1.306407
0.000000,-2.555792,-1.068751,-1.268036
0.000000,-2.681982,-1.084778,-1.110603
0.000000,-2.809057,-1.003580,-0.912733
0.000000,-2.938051,-0.881982,-0.705763
0.000000,-3.007110,-0.753780,-0.554707
0.000000,-3.087531,-0.633290,-0.420115
0.000000,3.103299,-0.493601,-0.259139
0.000000,3.022620,-0.330800,-0.142615
0.000000,2.984478,-0.204217,-0.044338
0.000000,2.975365,-0.094340,0.067758
0.000000,2.981378,0.016001,0.199357
0.000000,2.991294,0.084501,0.315211
0.000000,3.008366,0.150568,0.414299
0.000000,3.047027,0.191162,0.520157
0.000000,3.086825,0.227969,0.609046
0.000000,3.114707,0.240100,0.630388
0.000000,3.126568,0.261573,0.679321
0.000000,-3.119952,0.291720,0.705321
0.000000,-3.088539,0.301549,0.729694
0.000000,-3.078651,0.321510,0.757991
0.000000,-3.071121,0.340969,0.762335
0.000000,-3.063600,0.360562,0.767021
0.000000,-3.105353,0.374922,0.736660
0.000000,-3.121249,0.401066,0.713336
0.000000,3.113080,0.412390,0.657644
0.000000,3.069176,0.446709,0.610726
0.000000,3.029277,0.496556,0.560043
0.000000,2.980233,0.524292,0.504612
0.000000,2.882150,0.505220,0.393099
0.000000,2.826504,0.507278,0.318064
0.000000,2.773759,0.472148,0.224573
0.000000,2.745593,0.466094,0.157021
0.000000,2.702198,0.449150,0.066199
0.000000,2.668117,0.456713,-0.006903
0.000000,2.591947,0.447153,-0.127904
0.000000,2.522583,0.459388,-0.235727
0.000000,2.457656,0.446709,-0.336466
0.000000,2.388813,0.394774,-0.400486
0.000000,2.334240,0.283794,-0.428870
0.000000,2.291599,0.156235,-0.444341
0.000000,2.294277,0.018001,-0.451126
0.000000,2.301579,-0.126739,-0.476629
0.000000,2.320819,-0.241130,-0.495532
0.000000,2.367313,-0.324674,-0.511953
