Time,Eul_A,Eul_B,Eul_C
0.000000,-2.523730,-0.085103,2.947127
0.000000,-2.642042,0.001200,2.978958
0.000000,-2.784495,0.103786,3.017637
0.000000,-2.910927,0.156032,3.019055
0.000000,-3.012419,0.189125,3.012419
0.000000,-3.076730,0.205851,2.986729
0.000000,3.126794,0.179157,2.978100
0.000000,3.064255,0.194423,2.972334
0.000000,3.047320,0.152591,2.972172
0.000000,3.025970,0.149961,2.951020
0.000000,3.007820,0.128150,2.951045
0.000000,2.991561,0.086508,2.952935
0.000000,2.993132,0.065246,2.934699
0.000000,2.973435,0.063242,2.934532
0.000000,2.973349,0.061639,2.915124
0.000000,2.977696,0.022002,2.918249
0.000000,3.027801,-0.055228,2.883862
0.000000,3.104587,-0.167583,2.865656
0.000000,-3.034667,-0.475294,2.787273
0.000000,-2.793619,-0.748308,2.607670
0.000000,-2.445567,-0.967729,2.342456
0.000000,-1.913256,-1.072504,1.869450
0.000000,-1.338158,-1.029032,1.338158
0.000000,-1.088492,-0.990682,1.103355
0.000000,-0.991375,-0.961761,1.021077
0.000000,-1.035641,-0.963511,1.080162
0.000000,-1.001863,-0.955842,1.046561
0.000000,-0.936539,-0.920658,0.981329
0.000000,-0.883197,-0.918348,0.943037
0.000000,-0.883197,-0.918348,0.943037
0.000000,-0.883197,-0.918348,0.943037
0.000000,-0.852937,-0.892113,0.912583
0.000000,-0.856317,-0.908854,0.916510
0.000000,-0.856317,-0.908854,0.916510
0.000000,-0.827608,-0.882611,0.887622
0.000000,-0.827608,-0.882611,0.887622
0.000000,-0.827608,-0.882611,0.887622
0.000000,-0.838375,-0.877588,0.913693
0.000000,-0.838375,-0.877588,0.913693
0.000000,-0.811011,-0.852305,0.886126
0.000000,-0.811011,-0.852305,0.886126
0.000000,-0.814382,-0.867632,0.890185
0.000000,-0.814382,-0.867632,0.890185
0.000000,-0.814382,-0.867632,0.890185
0.000000,-0.814382,-0.867632,0.890185
0.000000,-0.814382,-0.867632,0.890185
0.000000,-0.813770,-0.884187,0.903851
0.000000,-0.939769,-0.932312,1.043911
0.000000,-1.044899,-0.974106,1.148526
0.000000,-1.113036,-0.991778,1.201134
0.000000,-1.181179,-1.032923,1.283739
0.000000,-1.438825,-1.046747,1.541479
0.000000,-1.972591,-1.040387,2.061509
0.000000,-2.485671,-0.847458,2.531474
0.000000,-2.547672,-0.796910,2.593367
0.000000,-2.601488,-0.745583,2.646976
0.000000,-2.728153,-0.599706,2.776198
0.000000,-2.796037,-0.465646,2.846465
0.000000,-2.888766,-0.300502,2.941146
0.000000,-2.978087,-0.010200,3.018477
0.000000,-2.988974,0.168800,3.033079
0.000000,-2.990665,0.327419,3.064198
0.000000,-3.020479,0.471923,3.047435
0.000000,-3.019149,0.450260,3.045879
0.000000,-3.017819,0.428822,3.044323
0.000000,-3.001423,0.431903,3.027845
0.000000,-2.997712,0.451594,3.051074
0.000000,-2.994710,0.493374,3.076182
0.000000,-2.993607,0.471474,3.074401
0.000000,-2.972278,0.472597,3.079756
