Time,Qua_A,Qua_B,Qua_C,Qua_D,Eul_A,Eul_B,Eul_C
0.000000,0.290000,-0.100000,-0.950000,0.000000,-3.068993,-0.606506,2.909810
0.000000,0.290000,-0.100000,-0.950000,0.000000,-3.071405,-0.583562,2.909810
0.000000,0.280000,-0.100000,-0.950000,-0.000000,-3.071405,-0.583562,2.909810
0.000000,0.280000,-0.100000,-0.950000,-0.000000,-3.073818,-0.560961,2.909810
0.000000,0.280000,-0.100000,-0.960000,-0.000000,-3.073818,-0.560961,2.909810
0.000000,0.270000,-0.100000,-0.960000,-0.000000,-3.076809,-0.567588,2.917706
0.000000,0.270000,-0.100000,-0.960000,-0.000000,-3.079116,-0.544979,2.917706
0.000000,0.260000,-0.100000,-0.960000,-0.000000,-3.079116,-0.544979,2.917706
0.000000,0.260000,-0.110000,-0.960000,-0.000000,-3.081424,-0.522675,2.917706
0.000000,0.260000,-0.110000,-0.960000,-0.000000,-3.075744,-0.522675,2.896168
0.000000,0.250000,-0.110000,-0.960000,-0.000000,-3.075744,-0.522675,2.896168
0.000000,0.250000,-0.110000,-0.960000,-0.000000,-3.078270,-0.500655,2.896168
0.000000,0.250000,-0.110000,-0.960000,-0.000000,-3.078270,-0.500655,2.896168
0.000000,0.240000,-0.110000,-0.960000,-0.000000,-3.078270,-0.500655,2.896168
0.000000,0.240000,-0.110000,-0.960000,-0.000000,-3.080796,-0.478896,2.896168
0.000000,0.240000,-0.110000,-0.960000,-0.000000,-3.080796,-0.478896,2.896168
0.000000,0.240000,-0.110000,-0.970000,-0.000000,-3.080796,-0.478896,2.896168
0.000000,0.230000,-0.110000,-0.970000,-0.000000,-3.083380,-0.484312,2.904153
0.000000,0.230000,-0.110000,-0.970000,-0.000000,-3.085801,-0.462515,2.904153
0.000000,0.230000,-0.110000,-0.970000,-0.000000,-3.085801,-0.462515,2.904153
0.000000,0.230000,-0.110000,-0.970000,-0.000000,-3.085801,-0.462515,2.904153
0.000000,0.220000,-0.110000,-0.970000,-0.000000,-3.085801,-0.462515,2.904153
0.000000,0.220000,-0.110000,-0.970000,-0.000000,-3.088222,-0.440951,2.904153
0.000000,0.220000,-0.110000,-0.970000,-0.000000,-3.088222,-0.440951,2.904153
0.000000,0.220000,-0.110000,-0.970000,-0.000000,-3.088222,-0.440951,2.904153
0.000000,0.220000,-0.110000,-0.970000,-0.000000,-3.088222,-0.440951,2.904153
0.000000,0.220000,-0.110000,-0.970000,-0.000000,-3.088222,-0.440951,2.904153
0.000000,0.210000,-0.110000,-0.970000,-0.000000,-3.088222,-0.440951,2.904153
0.000000,0.210000,-0.110000,-0.970000,-0.000000,-3.090643,-0.419605,2.904153
0.000000,0.210000,-0.120000,-0.970000,-0.000000,-3.090643,-0.419605,2.904153
0.000000,0.210000,-0.120000,-0.970000,-0.000000,-3.086301,-0.419605,2.883476
0.000000,0.210000,-0.120000,-0.970000,-0.010000,-3.086301,-0.419605,2.883476
0.000000,0.210000,-0.120000,-0.970000,-0.010000,-3.107562,-0.422235,2.887989
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.107562,-0.422235,2.887989
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.200000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.110195,-0.401066,2.887777
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.120000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.130000,-0.970000,-0.010000,-3.112828,-0.380086,2.887564
0.000000,0.190000,-0.130000,-0.970000,-0.010000,-3.108839,-0.380301,2.867071
0.000000,0.190000,-0.130000,-0.970000,-0.010000,-3.108839,-0.380301,2.867071
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.108839,-0.380301,2.867071
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.130000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.140000,-0.970000,-0.010000,-3.111676,-0.359493,2.866861
0.000000,0.180000,-0.140000,-0.970000,-0.010000,-3.107946,-0.359707,2.846603
0.000000,0.180000,-0.140000,-0.970000,-0.010000,-3.107946,-0.359707,2.846603
0.000000,0.180000,-0.140000,-0.970000,-0.010000,-3.107946,-0.359707,2.846603
0.000000,0.180000,-0.140000,-0.970000,-0.010000,-3.107946,-0.359707,2.846603
0.000000,0.180000,-0.140000,-0.970000,-0.010000,-3.107946,-0.359707,2.846603
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.107946,-0.359707,2.846603
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.140000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.110983,-0.339059,2.846395
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.150000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.107510,-0.339271,2.826387
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.010000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.104097,-0.339483,2.806636
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.160000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.124874,-0.342879,2.810288
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.170000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.121374,-0.343304,2.790767
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
0.000000,0.170000,-0.180000,-0.970000,-0.020000,-3.117933,-0.343729,2.771522
